20121005_182526_962   75 -80.09939771 40.58525015 2 PartlyCloudy
20121005_182526_962   79 -80.09942389 40.58539188 2 PartlyCloudy
20121005_182526_962   84 -80.09944804 40.58556923 2 PartlyCloudy
20121005_182526_962   90 -80.09946674 40.58577961 2 PartlyCloudy
20121005_182526_962   96 -80.09947300 40.58598614 2 PartlyCloudy
20121005_182526_962  102 -80.09946957 40.58619245 2 PartlyCloudy
20121005_182526_962  107 -80.09945773 40.58636713 2 PartlyCloudy
20121005_182526_962  113 -80.09943421 40.58657808 2 PartlyCloudy
20121005_182526_962  118 -80.09940632 40.58675449 2 PartlyCloudy
20121005_182526_962  125 -80.09935168 40.58699801 2 PartlyCloudy
20121005_182526_962  135 -80.09929339 40.58719657 2 PartlyCloudy
20121005_182526_962  138 -80.09926360 40.58729359 2 PartlyCloudy
20121005_182526_962  139 -80.09920241 40.58748193 2 PartlyCloudy
20121005_182526_962  141 -80.09916958 40.58757080 2 PartlyCloudy
20121005_182526_962  147 -80.09908989 40.58777294 2 PartlyCloudy
20121005_182526_962  152 -80.09901255 40.58793659 2 PartlyCloudy
20121005_182526_962  160 -80.09887522 40.58819559 2 PartlyCloudy
20121005_182526_962  164 -80.09880224 40.58832293 2 PartlyCloudy
20121005_182526_962  166 -80.09876521 40.58838616 2 PartlyCloudy
20121005_182526_962  173 -80.09863286 40.58859765 2 PartlyCloudy
20121005_182526_962  179 -80.09851375 40.58877808 2 PartlyCloudy
20121005_182526_962  184 -80.09840949 40.58893415 2 PartlyCloudy
20121005_182526_962  186 -80.09836825 40.58899778 2 PartlyCloudy
20121005_182526_962  192 -80.09824480 40.58918817 2 PartlyCloudy
20121005_182526_962  194 -80.09820419 40.58925054 2 PartlyCloudy
20121005_182526_962  198 -80.09812297 40.58937527 2 PartlyCloudy
20121005_182526_962  204 -80.09800058 40.58956152 2 PartlyCloudy
20121005_182526_962  211 -80.09785985 40.58977807 2 PartlyCloudy
20121005_182526_962  213 -80.09781990 40.58983987 2 PartlyCloudy
20121005_182526_962  218 -80.09772025 40.58999587 2 PartlyCloudy
20121005_182526_962  223 -80.09762011 40.59015024 2 PartlyCloudy
20121005_182526_962  231 -80.09745986 40.59039245 2 PartlyCloudy
20121005_182526_962  234 -80.09740063 40.59048271 2 PartlyCloudy
20121005_182526_962  237 -80.09734212 40.59057346 2 PartlyCloudy
20121005_182526_962  244 -80.09720779 40.59078602 2 PartlyCloudy
20121005_182526_962  251 -80.09707203 40.59099344 2 PartlyCloudy
20121005_182526_962  254 -80.09701262 40.59108307 2 PartlyCloudy
20121005_182526_962  257 -80.09695320 40.59117271 2 PartlyCloudy
20121005_182526_962  264 -80.09681147 40.59138377 2 PartlyCloudy
20121005_182526_962  271 -80.09666868 40.59159506 2 PartlyCloudy
20121005_182526_962  274 -80.09660701 40.59168535 2 PartlyCloudy
20121005_182526_962  277 -80.09654473 40.59177527 2 PartlyCloudy
20121005_182526_962  284 -80.09640162 40.59198414 2 PartlyCloudy
20121005_182526_962  290 -80.09627399 40.59217405 2 PartlyCloudy
20121005_182526_962  293 -80.09620442 40.59227909 2 PartlyCloudy
20121005_182526_962  296 -80.09613990 40.59237700 2 PartlyCloudy
20121005_182526_962  302 -80.09601925 40.59256100 2 PartlyCloudy
20121005_182526_962  309 -80.09587858 40.59277721 2 PartlyCloudy
20121005_182526_962  312 -80.09581663 40.59287246 2 PartlyCloudy
20121005_182526_962  315 -80.09575437 40.59296819 2 PartlyCloudy
20121005_182526_962  322 -80.09561060 40.59319417 2 PartlyCloudy
20121005_182526_962  328 -80.09548802 40.59338785 2 PartlyCloudy
20121005_182526_962  332 -80.09540632 40.59351674 2 PartlyCloudy
20121005_182526_962  334 -80.09536500 40.59358196 2 PartlyCloudy
20121005_182526_962  340 -80.09524114 40.59377758 2 PartlyCloudy
20121005_182526_962  342 -80.09520004 40.59384271 2 PartlyCloudy
20121005_182526_962  346 -80.09511786 40.59397298 2 PartlyCloudy
20121005_182526_962  351 -80.09501224 40.59413695 2 PartlyCloudy
20121005_182526_962  358 -80.09486281 40.59436817 2 PartlyCloudy
20121005_182526_962  360 -80.09481990 40.59443454 2 PartlyCloudy
20121005_182526_962  365 -80.09471203 40.59459987 2 PartlyCloudy
20121005_182526_962  370 -80.09460417 40.59476575 2 PartlyCloudy
20121005_182526_962  376 -80.09447573 40.59496797 2 PartlyCloudy
20121005_182526_962  379 -80.09441237 40.59506964 2 PartlyCloudy
20121005_182526_962  382 -80.09434909 40.59517136 2 PartlyCloudy
20121005_182526_962  388 -80.09422847 40.59537755 2 PartlyCloudy
20121005_182526_962  394 -80.09411495 40.59558707 2 PartlyCloudy
20121005_182526_962  399 -80.09402535 40.59576409 2 PartlyCloudy
20121005_182526_962  405 -80.09392615 40.59598108 2 PartlyCloudy
20121005_182526_962  410 -80.09384789 40.59616480 2 PartlyCloudy
20121005_182526_962  413 -80.09380149 40.59627541 2 PartlyCloudy
20121005_182526_962  416 -80.09375679 40.59638743 2 PartlyCloudy
20121005_182526_962  421 -80.09368269 40.59657580 2 PartlyCloudy
20121005_182526_962  426 -80.09361001 40.59678582 2 PartlyCloudy
20121005_182526_962  431 -80.09355028 40.59698226 2 PartlyCloudy
20121005_182526_962  436 -80.09349707 40.59717211 2 PartlyCloudy
20121005_182526_962  442 -80.09343917 40.59739460 2 PartlyCloudy
20121005_182526_962  446 -80.09340455 40.59755023 2 PartlyCloudy
20121005_182526_962  452 -80.09335590 40.59778557 2 PartlyCloudy
20121005_182526_962  457 -80.09331916 40.59798195 2 PartlyCloudy
20121005_182526_962  462 -80.09329131 40.59817959 2 PartlyCloudy
20121005_182526_962  467 -80.09326707 40.59837648 2 PartlyCloudy
20121005_182526_962  472 -80.09324654 40.59857228 2 PartlyCloudy
20121005_182526_962  477 -80.09323173 40.59876734 2 PartlyCloudy
20121005_182526_962  482 -80.09322003 40.59896225 2 PartlyCloudy
20121005_182526_962  488 -80.09321145 40.59919580 2 PartlyCloudy
20121005_182526_962  493 -80.09321178 40.59938955 2 PartlyCloudy
20121005_182526_962  498 -80.09321641 40.59958288 2 PartlyCloudy
20121005_182526_962  503 -80.09322398 40.59977611 2 PartlyCloudy
20121005_182526_962  508 -80.09323568 40.59996967 2 PartlyCloudy
20121005_182526_962  513 -80.09325158 40.60016244 2 PartlyCloudy
20121005_182526_962  519 -80.09327567 40.60039240 2 PartlyCloudy
20121005_182526_962  524 -80.09330010 40.60058266 2 PartlyCloudy
20121005_182526_962  529 -80.09332556 40.60077244 2 PartlyCloudy
20121005_182526_962  534 -80.09335260 40.60097291 2 PartlyCloudy
20121005_182526_962  539 -80.09338068 40.60118125 2 PartlyCloudy
20121005_182526_962  542 -80.09339574 40.60129588 2 PartlyCloudy
20121005_182526_962  544 -80.09340579 40.60137230 2 PartlyCloudy
20121005_182526_962  550 -80.09343604 40.60159970 2 PartlyCloudy
20121005_182526_962  555 -80.09346174 40.60178858 2 PartlyCloudy
20121005_182526_962  560 -80.09348816 40.60197738 2 PartlyCloudy
20121005_182526_962  565 -80.09351418 40.60216491 2 PartlyCloudy
20121005_182526_962  571 -80.09354487 40.60238670 2 PartlyCloudy
20121005_182526_962  576 -80.09357009 40.60256925 2 PartlyCloudy
20121005_182526_962  581 -80.09359544 40.60275255 2 PartlyCloudy
20121005_182526_962  587 -80.09362637 40.60297335 2 PartlyCloudy
20121005_182526_962  593 -80.09365812 40.60319424 2 PartlyCloudy
20121005_182526_962  598 -80.09368514 40.60337796 2 PartlyCloudy
20121005_182526_962  604 -80.09371476 40.60359806 2 PartlyCloudy
20121005_182526_962  609 -80.09373881 40.60377988 2 PartlyCloudy
20121005_182526_962  615 -80.09376736 40.60399739 2 PartlyCloudy
20121005_182526_962  620 -80.09379106 40.60417855 2 PartlyCloudy
20121005_182526_962  626 -80.09381827 40.60439781 2 PartlyCloudy
20121005_182526_962  631 -80.09384146 40.60458074 2 PartlyCloudy
20121005_182526_962  637 -80.09386937 40.60479948 2 PartlyCloudy
