20130930_055047_821  121 -79.98643442 40.43410919 3 PartlyCloudy
20130930_055047_821  127 -79.98621598 40.43414028 3 PartlyCloudy
20130930_055047_821  138 -79.98581515 40.43420630 3 PartlyCloudy
20130930_055047_821  143 -79.98563367 40.43424107 3 PartlyCloudy
20130930_055047_821  149 -79.98542111 40.43428504 3 PartlyCloudy
20130930_055047_821  165 -79.98482729 40.43441813 3 PartlyCloudy
20130930_055047_821  171 -79.98460970 40.43446611 3 PartlyCloudy
20130930_055047_821  176 -79.98443098 40.43450681 3 PartlyCloudy
20130930_055047_821  188 -79.98401324 40.43460653 3 PartlyCloudy
20130930_055047_821  194 -79.98380294 40.43465889 3 PartlyCloudy
20130930_055047_821  199 -79.98362958 40.43470181 3 PartlyCloudy
20130930_055047_821  217 -79.98301932 40.43484412 3 PartlyCloudy
20130930_055047_821  223 -79.98281999 40.43488690 3 PartlyCloudy
20130930_055047_821  229 -79.98261904 40.43492924 3 PartlyCloudy
20130930_055047_821  241 -79.98221758 40.43501132 3 PartlyCloudy
20130930_055047_821  247 -79.98202693 40.43504563 3 PartlyCloudy
20130930_055047_821  254 -79.98180389 40.43508333 3 PartlyCloudy
20130930_055047_821  260 -79.98160258 40.43511851 3 PartlyCloudy
20130930_055047_821  266 -79.98140394 40.43514988 3 PartlyCloudy
20130930_055047_821  272 -79.98120923 40.43517892 3 PartlyCloudy
20130930_055047_821  276 -79.98108242 40.43519729 3 PartlyCloudy
20130930_055047_821  278 -79.98101914 40.43520645 3 PartlyCloudy
20130930_055047_821  285 -79.98080012 40.43523798 3 PartlyCloudy
20130930_055047_821  291 -79.98061402 40.43526375 3 PartlyCloudy
20130930_055047_821  297 -79.98042181 40.43528904 3 PartlyCloudy
20130930_055047_821  303 -79.98022557 40.43531373 3 PartlyCloudy
20130930_055047_821  310 -79.98000398 40.43534091 3 PartlyCloudy
20130930_055047_821  316 -79.97982011 40.43536456 3 PartlyCloudy
20130930_055047_821  329 -79.97942924 40.43541565 3 PartlyCloudy
20130930_055047_821  336 -79.97920679 40.43544606 3 PartlyCloudy
